Scenario,Rule,CommitteeRule,PlatoonSize,Iteration,Rejected,Agent,Utility1,HammingDistance1,Utility2,HammingDistance2,Utility3,HammingDistance3
Unstable,Borda,Minisum,6,0,0,0,0.9169311926605506,6.0,0.8710333172380492,6.0,0.9169311926605506,6.0
Unstable,Borda,Minisum,6,0,0,1,0.925425925925926,8.0,0.8791033138401559,8.0,0.8791033138401559,8.0
Unstable,Borda,Minisum,6,0,0,2,0.9356702127659575,6.0,0.9888353863381859,6.0,0.9356702127659575,6.0
Unstable,Borda,Minisum,6,0,0,3,0.9468684210526317,6.0,0.9994736842105263,6.0,0.9468684210526317,6.0
Unstable,Borda,Minisum,6,0,0,4,0.9125434782608697,4.0,0.9668649885583523,4.0,0.9125434782608697,4.0
Unstable,Borda,Minisum,6,0,0,5,0.9995,8.0,0.9494736842105262,8.0,0.9995,8.0
Unstable,Borda,Minisum,6,0,0,6,,,0.9439181286549707,9.0,0.8883888888888889,9.0
Unstable,Borda,Minisum,6,0,0,7,,,0.9555176402544824,9.0,0.9005989010989012,9.0
Unstable,Borda,Minisum,6,0,0,8,,,0.9994736842105263,4.0,0.9468684210526317,4.0
Unstable,Borda,Minisum,6,1,0,0,0.9788551275094953,6.0,0.9685721649484537,6.0,0.9170495827196857,6.0
Unstable,Borda,Minisum,6,1,0,1,0.9779683078664403,8.0,0.9242311827956989,8.0,0.8704915514592934,4.0
Unstable,Borda,Minisum,6,1,0,2,0.9590696438064858,6.0,0.98939898989899,6.0,0.9389177489177489,6.0
Unstable,Borda,Minisum,6,1,0,3,0.7977930119416188,6.0,0.8398361344537816,6.0,0.88187675070028,6.0
Unstable,Borda,Minisum,6,1,0,4,0.9308462332301342,4.0,0.9798921568627451,4.0,0.9701120448179271,7.0
Unstable,Borda,Minisum,6,1,0,5,0.9994736842105263,8.0,0.9468684210526317,8.0,0.8942606516290726,4.0
Unstable,Borda,Minisum,6,1,0,6,,,0.9428962264150944,9.0,0.9900898472596585,5.0
Unstable,Borda,Minisum,6,1,0,7,,,0.925425925925926,9.0,0.9717460317460317,5.0
Unstable,Borda,Minisum,6,1,0,8,,,0.8844557522123895,4.0,0.9287273493468183,7.0
Unstable,Borda,Minisum,6,2,0,0,0.9397163947163947,6.0,0.896959706959707,6.0,0.8114394961763383,6.0
Unstable,Borda,Minisum,6,2,0,1,0.9903711426188491,8.0,0.9628265618173875,8.0,0.8710333172380492,4.0
Unstable,Borda,Minisum,6,2,0,2,0.7907542457542457,6.0,0.8456776556776556,6.0,0.9555176402544824,6.0
Unstable,Borda,Minisum,6,2,0,3,0.9905364455364455,6.0,0.9454697554697554,6.0,0.8553295400663822,6.0
Unstable,Borda,Minisum,6,2,0,4,0.8416507177033492,4.0,0.8942606516290726,4.0,0.9994736842105263,7.0
Unstable,Borda,Minisum,6,2,0,5,0.9644577352472089,8.0,0.9205764411027568,8.0,0.8328070175438597,4.0
Unstable,Borda,Minisum,6,2,0,6,,,0.8704915514592934,9.0,0.9779683078664403,5.0
